2025-03-13 23:07:50 - INFO - Processing image: /data2/wuxinrui/Projects/ICCV/MIMC_FINAL/seen/test_list/Lasaea_adansoni###166715838.jpeg
2025-03-13 23:07:51 - INFO - Processing image: /data2/wuxinrui/Projects/ICCV/MIMC_FINAL/seen/test_list/Harmothoe_extenuata###330920042.jpeg
2025-03-13 23:07:51 - INFO - Processing image: /data2/wuxinrui/Projects/ICCV/MIMC_FINAL/seen/test_list/Cheilopogon_abei###211788976.jpg
2025-03-13 23:07:51 - INFO - Processing image: /data2/wuxinrui/Projects/ICCV/MIMC_FINAL/seen/test_list/Meridiastra_calcar###402758107.jpg
2025-03-13 23:07:51 - INFO - Processing image: /data2/wuxinrui/Projects/ICCV/MIMC_FINAL/seen/test_list/Scorpaena_histrio###109410271.jpeg
2025-03-13 23:07:51 - INFO - Processing image: /data2/wuxinrui/Projects/ICCV/MIMC_FINAL/seen/test_list/Sterna_aurantia###440847425.jpeg
2025-03-13 23:07:51 - INFO - Processing image: /data2/wuxinrui/Projects/ICCV/MIMC_FINAL/seen/test_list/Cochleoceps_orientalis###362225921.jpg
2025-03-13 23:07:51 - INFO - Processing image: /data2/wuxinrui/Projects/ICCV/MIMC_FINAL/seen/test_list/Suezichthys_devisi###279265556.jpg
2025-03-13 23:07:51 - INFO - Processing image: /data2/wuxinrui/Projects/ICCV/MIMC_FINAL/seen/test_list/Parapercis_xanthozona###446300943.jpeg
2025-03-13 23:07:51 - INFO - Processing image: /data2/wuxinrui/Projects/ICCV/MIMC_FINAL/seen/test_list/Ocypode_cursor###420805368.jpeg
2025-03-13 23:07:51 - INFO - Processing image: /data2/wuxinrui/Projects/ICCV/MIMC_FINAL/seen/test_list/Tridentiger_barbatus###359483490.jpeg
2025-03-13 23:07:51 - INFO - Processing image: /data2/wuxinrui/Projects/ICCV/MIMC_FINAL/seen/test_list/Diogenes_custos###34566413.jpeg
2025-03-13 23:07:51 - INFO - Processing image: /data2/wuxinrui/Projects/ICCV/MIMC_FINAL/seen/test_list/Hypsoblennius_sordidus###28607032.jpg
2025-03-13 23:07:51 - INFO - Processing image: /data2/wuxinrui/Projects/ICCV/MIMC_FINAL/seen/test_list/Tetrapturus_pfluegeri###GOOGLE001.jpeg
2025-03-13 23:07:52 - INFO - Processing image: /data2/wuxinrui/Projects/ICCV/MIMC_FINAL/seen/test_list/Alona_quadrangularis###351472945.jpg
